id,word,definition,score
null,array,1,2
null,bit,1,5
null,buffer,1,5
null,byte,1,5
null,data,1,3
null,hardware,1,5
null,memory,1,1
null,network,1,1
null,packet,1,5
null,process,1,2
null,protocol,1,5
null,query,1,5
null,software,1,3
null,object,1,3
null,variable,1,1
null,algorithm,1,2
null,database,1,4
null,transaction,1,1
null,tree,1,5
null,boolean,1,5
null,bug,1,5
null,byte,1,3
null,C,1,5
null,Java,1,1
null,compiler,1,2
null,translator,1,4
null,concurrency,1,5
null,code,1,4
null,map,1,5
null,stack,1,5
null,set,1,5
null,heap,1,3
null,computer,1,1
null,interface,1,3
null,core,1,1
null,Linux,1,3
null,instruction,1,2
null,multiprocessing,1,4
null,source code,1,2
null,recursion,1,4
null,register,1,3
null,operating system,1,5
null,computing,1,4
null,cipher,1,4
